Name,Genre,Centroid,Centroid Std,Rolloff 85%,Rolloff 85% Std,Rolloff 05%,Rolloff 05% Std,Zero-Crossing Rate,Zero-Crossing Rate (Std),Tempo,Low Energy Ratio,MFCC-0,MFCC-0 Std,MFCC-1,MFCC-1 Std,MFCC-2,MFCC-2 Std,MFCC-3,MFCC-3 Std,MFCC-4,MFCC-4 Std
blues.00000_0.wav,blues,1776.4332,379.2896,3735.9673,987.87866,88.73763,36.648582,0.08430727,0.028404333,125.0,0.5604839,-76.27978,47.940804,92.70872,14.712083,-0.9058527,19.142912,26.023914,15.596478,5.2646694,9.281532
blues.00000_1.wav,blues,1788.9672,301.43677,3950.1707,818.0275,77.406654,36.716175,0.07623291,0.023952348,125.0,0.54435486,-91.16267,56.216564,87.2127,13.449124,8.85962,13.487738,31.5976,16.014635,7.0396285,11.085729
blues.00000_2.wav,blues,1638.8724,315.63406,3497.322,869.2943,83.48457,31.255434,0.07017468,0.016796388,125.0,0.5201613,-64.11519,50.363342,101.35702,16.566236,3.0160809,12.970711,20.990889,11.763813,0.8298406,11.120469
blues.00000_3.wav,blues,1971.6453,455.40198,4319.795,1072.2714,86.43671,38.254333,0.09353343,0.034815174,125.0,0.5766129,-62.63004,52.80142,83.7861,18.50406,6.871342,15.605807,25.578785,12.645549,2.2056272,10.437675
blues.00000_4.wav,blues,1751.2445,308.2639,3789.1057,868.19855,96.899414,42.946854,0.073860414,0.017428577,125.0,0.47580644,-65.26996,46.501556,93.3008,13.502815,1.9055772,16.733263,22.993862,14.566633,2.7259893,11.135133
blues.00000_5.wav,blues,1771.4629,263.01538,3530.5337,747.95807,90.38736,35.54658,0.09991652,0.025561867,125.0,0.58064514,-75.1946,52.369186,91.27027,13.554338,-7.4700828,14.696562,34.182587,13.356379,8.546254,10.77154
blues.00001_0.wav,blues,1441.6069,610.0002,3371.813,1786.2789,62.689407,49.42487,0.045520414,0.035028744,103.44827,0.5201613,-170.68552,112.93606,98.471634,23.742651,28.906702,20.830893,27.809708,20.014694,18.93431,11.763823
blues.00001_1.wav,blues,1292.4818,448.21735,2595.489,1188.0126,70.85118,44.67725,0.065059535,0.041058958,107.14286,0.54435486,-148.50847,86.32892,120.80661,22.133753,-0.21641959,32.062904,33.657692,17.47533,10.787705,14.045226
blues.00001_2.wav,blues,1653.6003,792.6078,3794.6191,1804.495,68.94098,37.73069,0.06396288,0.047162812,111.111115,0.5201613,-149.70268,89.36566,102.326996,26.085625,18.472345,18.719158,16.149324,22.363966,18.702814,10.733955
blues.00001_3.wav,blues,1507.0188,495.09616,3782.0293,1772.6567,68.94098,39.71043,0.041858304,0.017862875,107.14286,0.5645161,-169.89688,79.20866,101.66308,21.68556,39.423702,14.129136,24.878832,20.887001,18.129036,16.079897
blues.00001_4.wav,blues,1893.7577,635.6221,4564.3877,1667.2439,86.91426,55.055096,0.07124378,0.046866495,107.14286,0.5604839,-103.1224,65.49347,92.79807,24.858732,26.58889,16.716402,10.632717,16.168188,14.7386,14.665254
blues.00001_5.wav,blues,1386.9602,409.27963,3174.5413,1320.5222,56.958794,27.356567,0.048302434,0.017590195,103.44827,0.5483871,-139.35085,90.180664,109.9777,20.896357,24.616566,14.753611,24.764236,16.474174,11.987216,10.482609
